HurricaneName,Year,Time of Picture,WindSpeed (Kt),Category,ImageName
,,,,,
Earl,2010,2010-09-01_1801Z.jpg,115,4,Hurricane_Earl_2010-09-01_1801Z.jpg
Igor,2010,2010-09-13_1640z,130,4,Hurricane_Igor_at_1640z_on_September_13%2C_2010.jp
Paula,2010,2010-10-12_1620Z.jpg,90,2,Hurricane_Paula_2010-10-12_1620Z.jpg
Richard,2010,Richard_2010-10-24_1645Z.jpg,80,1,Hurricane_Richard_2010-10-24_1645Z.jpg
Rina,2011,Oct_25_2011_1745Z,100,3,Hurricane_Rina_Oct_25_2011_1745Z.jpg
Ophelia,2011,Oct_1_2011_17.40(UTC),100,3,Ophelia250m_Oct_1_2011_17.40%28UTC%29.jpg
Don,2011,TDon_Jul_29_2011_1915Z,45,TS,Tropical_Storm_Don_Jul_29_2011_1915Z.jpg
TD Ten,2011,10L_Aug_25_2011_1535Z.jpg,20,TD,10L_Aug_25_2011_1535Z.jpg
Beryl,2012,Beryl_May_27_2012_1835Z,60,TS,Beryl_May_27_2012_1835Z.jpg
Ernesto,2012,Ernesto_Aug_7_2012_1920Z,75,1,Ernesto_Aug_7_2012_1920Z.jpg
Gordon,2012,Aug_18_2012_15.50(UTC).jpg,90,2,Gordon_Aug_18_2012_15.50%28UTC%29.jpg
Kirk,2012,Kirk_Aug_30_2012_1610Z.jpg,75,1,Kirk_Aug_30_2012_1610Z.jpg
Sandy,2012,Sandy_Oct_25_2012_0320Z.png,95,3,Sandy_Oct_25_2012_0320Z.png
Erin,2013,Erin_Aug_15_2013_1440Z.jpg,25,TS,Erin_Aug_15_2013_1440Z.jpg
Ingrid,2013,Ingrid_Sept_14_2013_1645Z,65,1,Ingrid_Sept_14_2013_1645Z.jpg
TD Eight,2013,File:08L_Sept_6_2013_1735Z.jpg,20,TD,08L_Sept_6_2013_1735Z
Fay,2014,Fay_Oct_12_2014_1455Z.jpg,70,1,Fay_Oct_12_2014_1455Z.jpg
Gonzalo,2014,Gonzalo_Oct_16_2014_1745Z.jpg,125,4,Gonzalo_Oct_16_2014_1745Z.jpg
Arthur,2014,Arthur_Jul_3_2014_1615Z.jpg,80,1,Arthur_Jul_3_2014_1615Z.jpg
TD Two,2014,File:02L_Jul_21_2014_1555Z.jpg,20,TD,02L_Jul_21_2014_1555Z.jpg
Danny,2014,Danny_2015-08-21_1620Z.jpg,110,3,Danny_A2009238_1730_1km.jpg
TD 9,2015,09L_2015-09-16_1350Z.jpg,20,TD,09L_2015-09-16_1350Z
Joaquin,2015,Joaquin_2015-10-02_1530Z,115,4,Joaquin_2015-10-02_1530Z
Bill,2015,Bill_2015-06-16_1955Z,50,TS,Bill_2015-06-16_1955Z.jpg
Ana,2015,Ana_2015-05-10_1625Z.jpg,35,TS,Ana_2015-05-10_1625Z.jpg
